"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"CCDC82_chr11:-:96383961:96387613:96383961:96386293:96387529:96387613:8166","CCDC82_chr11:-:96383961:96387613:96383961:96386293:96387529:96387613:8166","RI","ENSG00000149231.16","CCDC82",0.106,0.065,0.071,0.088,0.096,0.152,0.163,0.152,0.113,0.073,0.051,0.101,0.15,0.183,1.759672131,"SEED1"
"ZWINT_chr10:-:56359686:56360383:56359686:56359853:56360017:56360383:3365","ZWINT_chr10:-:56359686:56360383:56359686:56359853:56360017:56360383:3365","RI","ENSG00000122952.17","ZWINT",0.109,0.117,0.106,0.078,0.058,0.092,0.148,0.185,0.104,0.076,0.077,0.071,0.122,0.133,1.84918919,"SEED1"
"TMEM161B-DT_chr5:+:88269467:88269617:88269041:88269119:88270525:88270585:37544","TMEM161B-DT_chr5:+:88269467:88269617:88269041:88269119:88270525:88270585:37544","SE","ENSG00000247828.9","TMEM161B-DT",0.191,0.119,0.121,0.073,0.05,0.083,0.176,0.188,0.101,0.122,0.123,0.19,0.143,0.176,1.912146598,"SEED1"
"OFD1_chrX:+:13753367:13755242:13753367:13753441:13755150:13755242:202","OFD1_chrX:+:13753367:13755242:13753367:13753441:13755150:13755242:202","RI","ENSG00000046651.16","OFD1",0.169,0.156,0.12,0.057,0.06,0.101,0.151,0.18,0.118,0.119,0.115,0.133,0.157,0.148,1.957777777,"SEED1"
"DCAF1_chr3:-:51470928:51471005:51483718:51483836:51466802:51466876:51499872:51499994:7637","DCAF1_chr3:-:51470928:51471005:51483718:51483836:51466802:51466876:51499872:51499994:7637","MXE","ENSG00000145041.16","DCAF1",0.256,0.17,0.203,0.151,0.185,0.21,0.262,0.247,0.227,0.126,0.259,0.199,0.291,0.306,1.981830065,"SEED1"
"EHMT1_chr9:+:137716625:137717182:137728348:137728529:137618992:137619049:137743370:137743528:31144","EHMT1_chr9:+:137716625:137717182:137728348:137728529:137618992:137619049:137743370:137743528:31144","MXE","ENSG00000181090.21","EHMT1",0.143,0.084,0.064,0.064,0.085,0.105,0.104,0.113,0.056,0.038,0.095,0.091,0.121,0.093,2.000559443,"SEED1"
"SPAST_chr2:+:32087494:32087578:32089521:32089605:32063781:32064246:32098795:32098891:23246","SPAST_chr2:+:32087494:32087578:32089521:32089605:32063781:32064246:32098795:32098891:23246","MXE","ENSG00000021574.13","SPAST",0.212,0.14,0.123,0.108,0.089,0.1,0.158,0.109,0.079,0.062,0.048,0.087,0.14,0.111,2.098490566,"SEED1"
"NFIB_chr9:-:14102421:14102510:14112998:14113081:14087673:14088326:14120439:14120624:11237","NFIB_chr9:-:14102421:14102510:14112998:14113081:14087673:14088326:14120439:14120624:11237","MXE","ENSG00000147862.18","NFIB",0.103,0.152,0.157,0.056,0.1,0.103,0.249,0.256,0.144,0.237,0.086,0.167,0.168,0.292,2.128219178,"SEED1"
"RHBDF1_chr16:-:58973:59349:58973:59127:59248:59349:1745","RHBDF1_chr16:-:58973:59349:58973:59127:59248:59349:1745","RI","ENSG00000007384.15","RHBDF1",0.135,0.097,0.113,0.075,0.083,0.059,0.167,0.114,0.048,0.099,0.075,0.091,0.113,0.152,2.210179641,"SEED1"
"ITGB1_chr10:-:32932514:32933583:32932514:32932600:32933350:32933583:3217","ITGB1_chr10:-:32932514:32933583:32932514:32932600:32933350:32933583:3217","RI","ENSG00000150093.20","ITGB1",0.417,0.292,0.275,0.179,0.232,0.328,0.4,0.355,0.352,0.383,0.333,0.286,0.478,0.293,2.210878661,"SEED1"
"RNPC3_chr1:+:103543298:103543447:103544940:103545102:103541349:103541475:103546247:103546342:26428","RNPC3_chr1:+:103543298:103543447:103544940:103545102:103541349:103541475:103546247:103546342:26428","MXE","ENSG00000185946.16","RNPC3",0.278,0.282,0.257,0.244,0.224,0.295,0.327,0.329,0.26,0.299,0.189,0.254,0.289,0.323,2.221215805,"SEED1"
"SLC1A1_chr9:+:4544566:4544707:4561448:4561541:4490467:4490770:4564343:4564458:29665","SLC1A1_chr9:+:4544566:4544707:4561448:4561541:4490467:4490770:4564343:4564458:29665","MXE","ENSG00000106688.12","SLC1A1",0.504,0.37,0.449,0.349,0.408,0.462,0.511,0.465,0.446,0.253,0.339,0.492,0.54,0.553,2.226112116,"SEED1"
"CTBP2_chr10:-:125038996:125039155:125110989:125111093:125003337:125003492:125158634:125158716:18134","CTBP2_chr10:-:125038996:125039155:125110989:125111093:125003337:125003492:125158634:125158716:18134","MXE","ENSG00000175029.17","CTBP2",0.189,0.149,0.132,0.07,0.1,0.141,0.153,0.178,0.102,0.123,0.16,0.127,0.142,0.141,2.252486773,"SEED1"
"CYB5D1_chr17:+:7858402:7858824:7858402:7858479:7858605:7858824:5875","CYB5D1_chr17:+:7858402:7858824:7858402:7858479:7858605:7858824:5875","RI","ENSG00000182224.12","CYB5D1",0.098,0.197,0.136,0.07,0.139,0.124,0.2,0.176,0.149,0.11,0.095,0.145,0.222,0.173,2.254954956,"SEED1"
"USE1_chr19:+:17217452:17217462:17219212:17219387:17216168:17216321:17219630:17219640:2174","USE1_chr19:+:17217452:17217462:17219212:17219387:17216168:17216321:17219630:17219640:2174","MXE","ENSG00000053501.14","USE1",0.088,0.088,0.11,0.082,0.1,0.13,0.173,0.15,0.102,0.098,0.07,0.094,0.132,0.131,2.262080924,"SEED1"
"SPIN1_chr9:+:88415606:88415699:88418777:88418951:88388430:88388538:88426381:88426591:30254","SPIN1_chr9:+:88415606:88415699:88418777:88418951:88388430:88388538:88426381:88426591:30254","MXE","ENSG00000106723.17","SPIN1",0.271,0.201,0.215,0.185,0.206,0.229,0.259,0.349,0.213,0.186,0.107,0.101,0.285,0.144,2.274842408,"SEED1"
"B4GALT4_chr3:-:119229846:119230244:119236852:119237070:119226808:119227041:119240849:119240878:12309","B4GALT4_chr3:-:119229846:119230244:119236852:119237070:119226808:119227041:119240849:119240878:12309","MXE","ENSG00000121578.13","B4GALT4",0.142,0.143,0.153,0.108,0.081,0.141,0.22,0.234,0.21,0.133,0.14,0.095,0.177,0.186,2.279999999,"SEED1"
"CBLB_chr3:-:105670232:105670352:105678430:105678571:105655460:105659229:105681478:105681610:10968","CBLB_chr3:-:105670232:105670352:105678430:105678571:105655460:105659229:105681478:105681610:10968","MXE","ENSG00000114423.23","CBLB",0.591,0.506,0.453,0.4,0.385,0.436,0.459,0.407,0.386,0.256,0.378,0.393,0.544,0.49,2.288426395,"SEED1"
"PKP4_chr2:+:158603069:158603104:158620989:158621121:158533179:158533316:158621230:158621421:19528","PKP4_chr2:+:158603069:158603104:158620989:158621121:158533179:158533316:158621230:158621421:19528","MXE","ENSG00000144283.23","PKP4",0.136,0.116,0.089,0.061,0.1,0.096,0.061,0.111,0.092,0.088,0.084,0.11,0.171,0.122,2.294502924,"SEED1"
"CCDC82_chr11:-:96383961:96386293:96383961:96384761:96386253:96386293:8164","CCDC82_chr11:-:96383961:96386293:96383961:96384761:96386253:96386293:8164","RI","ENSG00000149231.16","CCDC82",0.14,0.078,0.13,0.13,0.082,0.168,0.15,0.169,0.149,0.094,0.062,0.087,0.155,0.22,2.30181818,"SEED1"
